"COU","Country","EMPL","Economic sector","GND","Gender","UNIT","Occupation rate","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2006","2006","PER","Persons","0","Units",,,4949,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2007","2007","PER","Persons","0","Units",,,6920,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2008","2008","PER","Persons","0","Units",,,2477,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2009","2009","PER","Persons","0","Units",,,5558,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2010","2010","PER","Persons","0","Units",,,5161,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2011","2011","PER","Persons","0","Units",,,4993,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2012","2012","PER","Persons","0","Units",,,5028,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2013","2013","PER","Persons","0","Units",,,4355,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","FU","Full-time","2014","2014","PER","Persons","0","Units",,,2227,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2006","2006","PER","Persons","0","Units",,,1343,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2007","2007","PER","Persons","0","Units",,,2606,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2008","2008","PER","Persons","0","Units",,,2129,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2009","2009","PER","Persons","0","Units",,,2070,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2010","2010","PER","Persons","0","Units",,,2128,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2011","2011","PER","Persons","0","Units",,,1998,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2012","2012","PER","Persons","0","Units",,,2019,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2013","2013","PER","Persons","0","Units",,,1649,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","PA","Part-time","2014","2014","PER","Persons","0","Units",,,1367,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2000","2000","PER","Persons","0","Units",,,9553,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2006","2006","PER","Persons","0","Units",,,6292,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2007","2007","PER","Persons","0","Units",,,9526,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2008","2008","PER","Persons","0","Units",,,4606,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2009","2009","PER","Persons","0","Units",,,7628,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2010","2010","PER","Persons","0","Units",,,7289,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2011","2011","PER","Persons","0","Units",,,6991,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2012","2012","PER","Persons","0","Units",,,7047,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2013","2013","PER","Persons","0","Units",,,6003,,
"AUS","Australia","EHAS","Harvest sector","TOT","Total","TT","Total","2014","2014","PER","Persons","0","Units",,,3594,,
"AUS","Australia","EFIC","Marine fisheries (coastal)","MAL","Males","FU","Full-time","2005","2005","PER","Persons","0","Units",,,4628,,
"AUS","Australia","EFIC","Marine fisheries (coastal)","MAL","Males","FU","Full-time","2006","2006","PER","Persons","0","Units",,,4602,,
"AUS","Australia","EFIC","Marine fisheries (coastal)","MAL","Males","FU","Full-time","2007","2007","PER","Persons","0","Units",,,6522,,
"AUS","Australia","EFIC","Marine fisheries (coastal)","MAL","Males","FU","Full-time","2008","2008","PER","Persons","0","Units",,,2382,,
"AUS","Australia","EFIC","Marine fisheries (coastal)","MAL","Males","FU","Full-time","2009","2009","PER","Persons","0","Units",,,5139,,
"AUS","Australia","EFIC","Marine fisheries (coastal)","MAL","Males","FU","Full-time","2010","2010","PER","Persons","0","Units",,,5139,,
"AUS","Australia","EFIC","Marine fisheries (coastal)","MAL","Males","FU","Full-time","2011","2011","PER","Persons","0","Units",,,4685,,
"AUS","Australia","EFIC","Marine fisheries (coastal)","MAL","Males","PA","Part-time","2005","2005","PER","Persons","0","Units",,,1802,,
