"FLEET","Fleet","UNIT","Measure","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2003","2003","TONNE","Tonnes","0","Units",,,571,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2004","2004","TONNE","Tonnes","0","Units",,,612,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2005","2005","TONNE","Tonnes","0","Units",,,590,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2006","2006","TONNE","Tonnes","0","Units",,,477,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2007","2007","TONNE","Tonnes","0","Units",,,374,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2008","2008","TONNE","Tonnes","0","Units",,,332,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2009","2009","TONNE","Tonnes","0","Units",,,332,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2010","2010","TONNE","Tonnes","0","Units",,,318,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2011","2011","TONNE","Tonnes","0","Units",,,325,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2012","2012","TONNE","Tonnes","0","Units",,,318,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2013","2013","TONNE","Tonnes","0","Units",,,306,,
"FTOT","Total Vessels","NU","Number of vessels","AUS","Australia","2014","2014","TONNE","Tonnes","0","Units",,,309,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2006","2006","NBR","Number","0","Units",,,63555,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2007","2007","NBR","Number","0","Units",,,53458,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2008","2008","NBR","Number","0","Units",,,48828,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2009","2009","NBR","Number","0","Units",,,31932,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2010","2010","NBR","Number","0","Units",,,36364.2,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2011","2011","NBR","Number","0","Units",,,34930.8,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2012","2012","NBR","Number","0","Units",,,35359.6,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2013","2013","NBR","Number","0","Units",,,35713,,
"FTOT","Total Vessels","GT","Gross tonnage","AUS","Australia","2014","2014","NBR","Number","0","Units",,,40741,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2000","2000","TONNE","Tonnes","0","Units",,,129,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2001","2001","TONNE","Tonnes","0","Units",,,130,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2002","2002","TONNE","Tonnes","0","Units",,,130,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2003","2003","TONNE","Tonnes","0","Units",,,125,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2004","2004","TONNE","Tonnes","0","Units",,,121,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2005","2005","TONNE","Tonnes","0","Units",,,120,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2006","2006","TONNE","Tonnes","0","Units",,,107,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2007","2007","TONNE","Tonnes","0","Units",,,102,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2008","2008","TONNE","Tonnes","0","Units",,,100,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2009","2009","TONNE","Tonnes","0","Units",,,89,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2010","2010","TONNE","Tonnes","0","Units",,,89,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2011","2011","TONNE","Tonnes","0","Units",,,86,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2012","2012","TONNE","Tonnes","0","Units",,,83,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2013","2013","TONNE","Tonnes","0","Units",,,80,,
"FTOT","Total Vessels","NU","Number of vessels","BEL","Belgium","2014","2014","TONNE","Tonnes","0","Units",,,82,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2000","2000","NBR","Number","0","Units",,,23220.67,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2001","2001","NBR","Number","0","Units",,,24091,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2002","2002","NBR","Number","0","Units",,,24276,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2003","2003","NBR","Number","0","Units",,,23676,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2004","2004","NBR","Number","0","Units",,,22752,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2005","2005","NBR","Number","0","Units",,,22584,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2006","2006","NBR","Number","0","Units",,,20035,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2007","2007","NBR","Number","0","Units",,,19292,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2008","2008","NBR","Number","0","Units",,,19007,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2009","2009","NBR","Number","0","Units",,,16048,,
"FTOT","Total Vessels","GT","Gross tonnage","BEL","Belgium","2010","2010","NBR","Number","0","Units",,,15812,,
