,Region Name,Country,Class,Category,Type,Constant 2018 USD,Data Type
12,Africa,Algeria,A1,Beneficial,Fisheries mangt.,1629280.79,Reported
13,Africa,Algeria,A2,Beneficial,Fishery R&D,4529977.646,Reported
14,Africa,Algeria,A3,Beneficial,MPAs,508033.9447,Modeled
15,Africa,Algeria,B1,Capacity-enhancing,Boat constsruct. & renov.,43901678.58,Reported
16,Africa,Algeria,B2,Capacity-enhancing,Fisheries dev. projects,25878295.63,Reported
17,Africa,Algeria,B3,Capacity-enhancing,Fishing port develop.,31776201.77,Reported
18,Africa,Algeria,B4,Capacity-enhancing,Markt. & storage infrast.,55303477.09,Reported
19,Africa,Algeria,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
20,Africa,Algeria,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
1829,Africa,Algeria,B7,Capacity-enhancing,Fuel subsidies,51563511.22,Modeled
21,Africa,Algeria,C1,Ambiguous,Fisher assistance,3822168.638,Reported
22,Africa,Algeria,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
23,Africa,Algeria,C3,Ambiguous,Rural fisher communities,9191270.444,Reported
24,Africa,Angola,A1,Beneficial,Fisheries mangt.,7402331.289,Reported
25,Africa,Angola,A2,Beneficial,Fishery R&D,216102.8855,Reported
26,Africa,Angola,A3,Beneficial,MPAs,0,not found evidence of subsidy
27,Africa,Angola,B1,Capacity-enhancing,Boat constsruct. & renov.,12842685.77,Reported
28,Africa,Angola,B2,Capacity-enhancing,Fisheries dev. projects,6528959.537,Reported
29,Africa,Angola,B3,Capacity-enhancing,Fishing port develop.,3484958.702,Reported
30,Africa,Angola,B4,Capacity-enhancing,Markt. & storage infrast.,5855177.318,Reported
31,Africa,Angola,B5,Capacity-enhancing,Tax exemption,12077126.52,Modeled
32,Africa,Angola,B6,Capacity-enhancing,Fishing access,377318.47,Modeled
1830,Africa,Angola,B7,Capacity-enhancing,Fuel subsidies,1883821.395,Modeled
33,Africa,Angola,C1,Ambiguous,Fisher assistance,653698.2873,Reported
34,Africa,Angola,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
35,Africa,Angola,C3,Ambiguous,Rural fisher communities,3679027.916,Reported
421,Africa,Benin,A1,Beneficial,Fisheries mangt.,9232292.617,Reported
422,Africa,Benin,A2,Beneficial,Fishery R&D,451720.0195,Modeled
423,Africa,Benin,A3,Beneficial,MPAs,0,not found evidence of subsidy
424,Africa,Benin,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
425,Africa,Benin,B2,Capacity-enhancing,Fisheries dev. projects,1121835.021,Reported
426,Africa,Benin,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
427,Africa,Benin,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
428,Africa,Benin,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
429,Africa,Benin,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
1863,Africa,Benin,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
430,Africa,Benin,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
431,Africa,Benin,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
432,Africa,Benin,C3,Ambiguous,Rural fisher communities,232400.3112,Modeled
240,Africa,Cameroon,A1,Beneficial,Fisheries mangt.,5131498.144,Reported
241,Africa,Cameroon,A2,Beneficial,Fishery R&D,609560.6984,Modeled
242,Africa,Cameroon,A3,Beneficial,MPAs,1475377.546,Modeled
243,Africa,Cameroon,B1,Capacity-enhancing,Boat constsruct. & renov.,655684.3985,Modeled
244,Africa,Cameroon,B2,Capacity-enhancing,Fisheries dev. projects,17023910.09,Reported
245,Africa,Cameroon,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
246,Africa,Cameroon,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
247,Africa,Cameroon,B5,Capacity-enhancing,Tax exemption,1288360.776,Modeled
248,Africa,Cameroon,B6,Capacity-enhancing,Fishing access,538959.66,Modeled
1848,Africa,Cameroon,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
249,Africa,Cameroon,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
250,Africa,Cameroon,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
251,Africa,Cameroon,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
264,Africa,Cape Verde,A1,Beneficial,Fisheries mangt.,2405245.315,Reported
265,Africa,Cape Verde,A2,Beneficial,Fishery R&D,322245.4956,Modeled
266,Africa,Cape Verde,A3,Beneficial,MPAs,0,not found evidence of subsidy
267,Africa,Cape Verde,B1,Capacity-enhancing,Boat constsruct. & renov.,797687.9776,Modeled
268,Africa,Cape Verde,B2,Capacity-enhancing,Fisheries dev. projects,1648340.528,Reported
269,Africa,Cape Verde,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
270,Africa,Cape Verde,B4,Capacity-enhancing,Markt. & storage infrast.,13304053.89,Modeled
271,Africa,Cape Verde,B5,Capacity-enhancing,Tax exemption,1567385.017,Modeled
272,Africa,Cape Verde,B6,Capacity-enhancing,Fishing access,1221567.68,Modeled
1850,Africa,Cape Verde,B7,Capacity-enhancing,Fuel subsidies,704134.0583,Modeled
273,Africa,Cape Verde,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
274,Africa,Cape Verde,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
275,Africa,Cape Verde,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
337,Africa,Comoros,A1,Beneficial,Fisheries mangt.,3311832.347,Reported
338,Africa,Comoros,A2,Beneficial,Fishery R&D,127232.6209,Modeled
339,Africa,Comoros,A3,Beneficial,MPAs,0,not found evidence of subsidy
340,Africa,Comoros,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
341,Africa,Comoros,B2,Capacity-enhancing,Fisheries dev. projects,6050083.932,Modeled
342,Africa,Comoros,B3,Capacity-enhancing,Fishing port develop.,47644064,Reported
343,Africa,Comoros,B4,Capacity-enhancing,Markt. & storage infrast.,383333.33,Reported
344,Africa,Comoros,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
345,Africa,Comoros,B6,Capacity-enhancing,Fishing access,1622522.98,Modeled
1856,Africa,Comoros,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
346,Africa,Comoros,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
347,Africa,Comoros,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
348,Africa,Comoros,C3,Ambiguous,Rural fisher communities,65458.46857,Modeled
361,Africa,Congo Dem Rep,A1,Beneficial,Fisheries mangt.,2842892.895,Modeled
362,Africa,Congo Dem Rep,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
363,Africa,Congo Dem Rep,A3,Beneficial,MPAs,439062.5749,Modeled
364,Africa,Congo Dem Rep,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
365,Africa,Congo Dem Rep,B2,Capacity-enhancing,Fisheries dev. projects,302615.391,Reported
366,Africa,Congo Dem Rep,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
367,Africa,Congo Dem Rep,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
368,Africa,Congo Dem Rep,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
369,Africa,Congo Dem Rep,B6,Capacity-enhancing,Fishing access,0,not found evidence of subsidy
1858,Africa,Congo Dem Rep,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
370,Africa,Congo Dem Rep,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
371,Africa,Congo Dem Rep,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
372,Africa,Congo Dem Rep,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
349,Africa,Congo Republic,A1,Beneficial,Fisheries mangt.,408629.1227,Reported
350,Africa,Congo Republic,A2,Beneficial,Fishery R&D,631605.1949,Modeled
351,Africa,Congo Republic,A3,Beneficial,MPAs,312560.1748,Modeled
352,Africa,Congo Republic,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
353,Africa,Congo Republic,B2,Capacity-enhancing,Fisheries dev. projects,331981.5699,Reported
354,Africa,Congo Republic,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
355,Africa,Congo Republic,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
356,Africa,Congo Republic,B5,Capacity-enhancing,Tax exemption,905912.8824,Modeled
357,Africa,Congo Republic,B6,Capacity-enhancing,Fishing access,265119.04,Modeled
1857,Africa,Congo Republic,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
358,Africa,Congo Republic,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
359,Africa,Congo Republic,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
360,Africa,Congo Republic,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
830,Africa,Cote d'Ivoire,A1,Beneficial,Fisheries mangt.,3271594.835,Reported
831,Africa,Cote d'Ivoire,A2,Beneficial,Fishery R&D,854274.1473,Modeled
832,Africa,Cote d'Ivoire,A3,Beneficial,MPAs,213080.5174,Modeled
833,Africa,Cote d'Ivoire,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
834,Africa,Cote d'Ivoire,B2,Capacity-enhancing,Fisheries dev. projects,32851596.54,Reported
835,Africa,Cote d'Ivoire,B3,Capacity-enhancing,Fishing port develop.,8469529.029,Reported
836,Africa,Cote d'Ivoire,B4,Capacity-enhancing,Markt. & storage infrast.,8443324.366,Reported
837,Africa,Cote d'Ivoire,B5,Capacity-enhancing,Tax exemption,1889723,Reported
838,Africa,Cote d'Ivoire,B6,Capacity-enhancing,Fishing access,655127.14,Modeled
1897,Africa,Cote d'Ivoire,B7,Capacity-enhancing,Fuel subsidies,2147412.5,Reported
839,Africa,Cote d'Ivoire,C1,Ambiguous,Fisher assistance,9256.149246,Reported
840,Africa,Cote d'Ivoire,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
841,Africa,Cote d'Ivoire,C3,Ambiguous,Rural fisher communities,411787.821,Reported
553,Africa,Djibouti,A1,Beneficial,Fisheries mangt.,1876666.66,Reported
554,Africa,Djibouti,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
555,Africa,Djibouti,A3,Beneficial,MPAs,0,not found evidence of subsidy
556,Africa,Djibouti,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
557,Africa,Djibouti,B2,Capacity-enhancing,Fisheries dev. projects,369346.0502,Modeled
558,Africa,Djibouti,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
559,Africa,Djibouti,B4,Capacity-enhancing,Markt. & storage infrast.,2730000,Reported
560,Africa,Djibouti,B5,Capacity-enhancing,Tax exemption,61513.26739,Modeled
561,Africa,Djibouti,B6,Capacity-enhancing,Fishing access,6775.11,Modeled
1874,Africa,Djibouti,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
562,Africa,Djibouti,C1,Ambiguous,Fisher assistance,382500,Reported
563,Africa,Djibouti,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
564,Africa,Djibouti,C3,Ambiguous,Rural fisher communities,19225.5454,Modeled
1719,Africa,Egypt,A1,Beneficial,Fisheries mangt.,18845311.55,Modeled
1720,Africa,Egypt,A2,Beneficial,Fishery R&D,1521906.215,Modeled
1721,Africa,Egypt,A3,Beneficial,MPAs,4741507.452,Modeled
1722,Africa,Egypt,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
1723,Africa,Egypt,B2,Capacity-enhancing,Fisheries dev. projects,24057563.23,Modeled
1724,Africa,Egypt,B3,Capacity-enhancing,Fishing port develop.,19973336.61,Modeled
1725,Africa,Egypt,B4,Capacity-enhancing,Markt. & storage infrast.,0,not found evidence of subsidy
1726,Africa,Egypt,B5,Capacity-enhancing,Tax exemption,0,not found evidence of subsidy
1727,Africa,Egypt,B6,Capacity-enhancing,Fishing access,4416742.68,Modeled
1971,Africa,Egypt,B7,Capacity-enhancing,Fuel subsidies,0,not found evidence of subsidy
1728,Africa,Egypt,C1,Ambiguous,Fisher assistance,0,not found evidence of subsidy
1729,Africa,Egypt,C2,Ambiguous,Vessel buyback,0,not found evidence of subsidy
1730,Africa,Egypt,C3,Ambiguous,Rural fisher communities,0,not found evidence of subsidy
493,Africa,Equatorial Guinea,A1,Beneficial,Fisheries mangt.,175989.1871,Reported
494,Africa,Equatorial Guinea,A2,Beneficial,Fishery R&D,0,not found evidence of subsidy
495,Africa,Equatorial Guinea,A3,Beneficial,MPAs,1481876.091,Modeled
496,Africa,Equatorial Guinea,B1,Capacity-enhancing,Boat constsruct. & renov.,0,not found evidence of subsidy
497,Africa,Equatorial Guinea,B2,Capacity-enhancing,Fisheries dev. projects,135775.6578,Reported
498,Africa,Equatorial Guinea,B3,Capacity-enhancing,Fishing port develop.,0,not found evidence of subsidy
499,Africa,Equatorial Guinea,B4,Capacity-enhancing,Markt. & storage infrast.,883872.2542,Reported
